stock_code,total_return,annual_return,max_drawdown,sharpe_ratio,trade_count
000739,0.0642,0.0133,-0.265,-0.1137,5
300115,0.0246,0.0052,-0.3854,-0.117,10
601666,0.1045,0.0214,-0.0835,-0.1207,2
688037,-0.0505,-0.011,-0.2996,-0.1235,13
600606,0.1074,0.0221,-0.0618,-0.138,2
603816,0.0745,0.0155,-0.1557,-0.1389,4
002261,0.0927,0.0191,-0.1145,-0.141,6
603737,-0.0117,-0.0025,-0.3676,-0.1411,13
601231,0.1069,0.0219,-0.0579,-0.1429,4
002126,0.1106,0.0226,-0.068,-0.1446,2
300735,0.0657,0.0136,-0.1336,-0.1478,7
300223,0.0493,0.0103,-0.1986,-0.15,7
002837,-0.0144,-0.0031,-0.2848,-0.1508,10
688578,0.0833,0.0212,-0.0839,-0.1511,2
000032,0.1035,0.0214,-0.0785,-0.1543,4
300450,0.0756,0.0156,-0.1037,-0.1544,6
600699,0.0678,0.0141,-0.145,-0.1556,8
002436,0.083,0.0171,-0.1429,-0.1599,6
688475,-0.0084,-0.0046,-0.1592,-0.1655,3
688188,0.0466,0.0097,-0.1748,-0.1732,5
600885,0.085,0.0175,-0.0936,-0.1744,5
600132,0.0912,0.0188,-0.121,-0.1764,2
002583,0.0589,0.0123,-0.1219,-0.177,6
605358,-0.0102,-0.0025,-0.2685,-0.1863,12
300339,0.037,0.0078,-0.1718,-0.1903,9
002265,0.0116,0.0025,-0.2168,-0.1993,5
300142,-0.0423,-0.0092,-0.2146,-0.2066,9
688172,0.0334,0.018,-0.0593,-0.2078,2
600062,0.0409,0.0086,-0.143,-0.2187,3
300558,0.0538,0.0112,-0.1166,-0.2198,9
002508,0.0913,0.0188,-0.0763,-0.2207,4
688363,0.0624,0.013,-0.1546,-0.2282,2
688561,0.0637,0.0149,-0.0932,-0.2304,5
002851,0.0958,0.0197,-0.0683,-0.2333,2
300432,-0.1038,-0.0231,-0.3151,-0.2404,12
000951,0.0729,0.0151,-0.0932,-0.2413,5
603939,-0.0411,-0.0089,-0.2761,-0.2463,10
603087,-0.0202,-0.0048,-0.2094,-0.2477,8
688235,0.0556,0.0194,-0.0301,-0.2586,2
002008,0.0701,0.0145,-0.0818,-0.2611,6
